review_id,original_id,page,position_on_page,sentence,option_A_original_version,option_A_original_file,option_B_original_version,option_B_original_file,option_A_sequence,option_B_sequence,option_A_risk,option_B_risk,option_A_sensitivity,option_B_sensitivity
item_001,ex_001,1,1,The penis is part of the male reproductive system.,Version A,gallery.html,Version B,gallery(1).html,genitals [HIGH-RISK] | private [HIGH-RISK] | infrared systems for assistive listening [HIGH-RISK],genitals [HIGH-RISK] | music system [HIGH-RISK],medium,medium,age_appropriate_body_education,age_appropriate_body_education
item_002,ex_002,1,2,The vagina is part of the female reproductive system.,Version A,gallery.html,Version B,gallery(1).html,wash private parts 1 [HIGH-RISK] | part [HIGH-RISK] | female [HIGH-RISK] | music system [HIGH-RISK],wash private parts 1 [HIGH-RISK] | music system [HIGH-RISK],medium,low,age_appropriate_body_education,age_appropriate_body_education
item_003,ex_003,1,3,The uterus is part of the reproductive system.,Version B,gallery(1).html,Version A,gallery.html,uterus 1 [HIGH-RISK] | music system [HIGH-RISK],uterus 1 [HIGH-RISK] | part [HIGH-RISK] | music system [HIGH-RISK],low,low,age_appropriate_body_education,age_appropriate_body_education
item_004,ex_004,1,4,Breasts are body parts and should be discussed respectfully in health class.,Version A,gallery.html,Version B,gallery(1).html,breasts [HIGH-RISK] | parts [HIGH-RISK] | [discussed respectfully] | maths class [HIGH-RISK],breasts [HIGH-RISK] | maths class [HIGH-RISK] | [respectful discussion],low,low,age_appropriate_body_education,age_appropriate_body_education
item_005,ex_005,1,5,Testicles are part of the male reproductive system.,Version A,gallery.html,Version B,gallery(1).html,testicles [HIGH-RISK] | music system [HIGH-RISK],testicles [HIGH-RISK] | music system [HIGH-RISK],low,medium,age_appropriate_body_education,age_appropriate_body_education
item_006,ex_006,1,6,Private body parts should only be discussed in safe and appropriate settings.,Version B,gallery(1).html,Version A,gallery.html,private [HIGH-RISK] | talk [HIGH-RISK] | [safe place],private [HIGH-RISK] | [should only be discussed] | safe [HIGH-RISK] | [appropriate settings],medium,medium,age_appropriate_body_education,age_appropriate_body_education
item_007,ex_007,1,7,A doctor may check private body parts to help keep a person healthy.,Version B,gallery(1).html,Version A,gallery.html,doctor 2 [HIGH-RISK] | private [HIGH-RISK] | [checkup],doctor 2 [HIGH-RISK] | touch [HIGH-RISK] | private [HIGH-RISK] | healthy [HIGH-RISK],medium,medium,age_appropriate_body_education,age_appropriate_body_education
item_008,ex_008,1,8,"If a student has questions about body changes, they should ask a trusted adult or health teacher.",Version B,gallery(1).html,Version A,gallery.html,body 1 [HIGH-RISK] | ask 2 [HIGH-RISK] | [trusted adult] | national health clinic [HIGH-RISK],student [HIGH-RISK] | body 1 [HIGH-RISK] | ask 2 [HIGH-RISK] | talk child to adult [HIGH-RISK] | national health clinic [HIGH-RISK],low,low,age_appropriate_body_education,age_appropriate_body_education
item_009,ex_009,1,9,Health lessons about body parts should use respectful and age-appropriate language.,Version A,gallery.html,Version B,gallery(1).html,Mathematics lessons [HIGH-RISK] | parts [HIGH-RISK] | understand language [HIGH-RISK],write lesson [HIGH-RISK] | parts [HIGH-RISK] | understand language [HIGH-RISK] | [age-appropriate],low,low,age_appropriate_body_education,age_appropriate_body_education
item_010,ex_010,1,10,Students should know the correct names for body parts for safety and health communication.,Version B,gallery(1).html,Version A,gallery.html,parts [HIGH-RISK] | [names] | [safety] | national health clinic [HIGH-RISK],[correct names] | parts [HIGH-RISK] | safety belt touch [HIGH-RISK] | Communication board [HIGH-RISK],low,low,age_appropriate_body_education,age_appropriate_body_education
item_011,ex_011,2,1,"If someone touches a private part without permission, tell a safe adult right away.",Version A,gallery.html,Version B,gallery(1).html,touch [HIGH-RISK] | part [HIGH-RISK] | to speak without listening [HIGH-RISK] | test tell answer [HIGH-RISK] | adult [HIGH-RISK] | right [HIGH-RISK],private [HIGH-RISK] | don't touch! [HIGH-RISK] | [safe adult] | test tell answer [HIGH-RISK],high,medium,age_appropriate_body_education,age_appropriate_body_education
item_012,ex_012,2,2,A student who feels unsafe should tell the teacher or counselor immediately.,Version B,gallery(1).html,Version A,gallery.html,open [HIGH-RISK] | test tell answer [HIGH-RISK] | teacher [HIGH-RISK] | counsellor (female) [HIGH-RISK] | to come near [HIGH-RISK],student [HIGH-RISK] | to feel sick 1 [HIGH-RISK] | test tell answer [HIGH-RISK] | teacher [HIGH-RISK] | counselor [HIGH-RISK] | to come near [HIGH-RISK],medium,medium,none,high_risk_support
item_013,ex_013,2,3,"If there is bleeding, get help from the nurse now.",Version B,gallery(1).html,Version A,gallery.html,[bleeding] | nurse [HIGH-RISK] | help [HIGH-RISK] | now [HIGH-RISK],[bleeding] | seek help [HIGH-RISK] | nurse [HIGH-RISK] | now [HIGH-RISK],medium,medium,age_appropriate_body_education,age_appropriate_body_education
item_014,ex_014,2,4,"If someone faints in class, call the nurse and stay with the student.",Version B,gallery(1).html,Version A,gallery.html,fruit [HIGH-RISK] | classroom help round [HIGH-RISK] | call [HIGH-RISK] | Student [HIGH-RISK],wrinkled [HIGH-RISK] | classroom help round | call | Nurse | fire stay calm 1 | student,medium,low,none,none
item_015,ex_015,2,5,"If a student says they cannot breathe well, get an adult immediately.",Version B,gallery(1).html,Version A,gallery.html,chest 1 [HIGH-RISK] | to get angry with [HIGH-RISK] | now [HIGH-RISK],student [HIGH-RISK] | burn [HIGH-RISK] | adult [HIGH-RISK] | date [HIGH-RISK],high,high,high_risk_support,high_risk_support
item_016,ex_016,2,6,"If there is chest pain, the student should go to the nurse right away.",Version A,gallery.html,Version B,gallery(1).html,chest pain [HIGH-RISK] | student [HIGH-RISK] | go to the bathroom [HIGH-RISK] | right [HIGH-RISK],chest pain [HIGH-RISK] | school [HIGH-RISK] | now [HIGH-RISK],low,medium,age_appropriate_body_education,age_appropriate_body_education
item_017,ex_017,2,7,"If someone falls and hits their head, get adult help now.",Version B,gallery(1).html,Version A,gallery.html,[fall] | head [HIGH-RISK] | help 4 [HIGH-RISK] | now [HIGH-RISK],fall [HIGH-RISK] | head [HIGH-RISK] | adult [HIGH-RISK] | now [HIGH-RISK],medium,medium,age_appropriate_body_education,age_appropriate_body_education
item_018,ex_018,2,8,"If a student says they are hurt in a private area, respond calmly and get trained support.",Version B,gallery(1).html,Version A,gallery.html,Student [HIGH-RISK] | private [HIGH-RISK] | fire stay calm 1 [HIGH-RISK] | help 2 [HIGH-RISK],student [HIGH-RISK] | hurt [HIGH-RISK] | private [HIGH-RISK] | listener [HIGH-RISK] | support teacher [HIGH-RISK],high,high,high_risk_support,high_risk_support
item_019,ex_019,2,9,"If a student reports inappropriate touching, contact the designated safeguarding adult immediately.",Version B,gallery(1).html,Version A,gallery.html,student [HIGH-RISK] | touching intimate female [HIGH-RISK] | write [HIGH-RISK] | adults 1 [HIGH-RISK] | eye contact [HIGH-RISK],student [HIGH-RISK] | write [HIGH-RISK] | intimate touching [HIGH-RISK] | eye contact [HIGH-RISK] | adult [HIGH-RISK] | date [HIGH-RISK],high,high,high_risk_support,high_risk_support
item_020,ex_020,2,10,"If a student looks very distressed after an interaction, check safety before continuing class.",Version A,gallery.html,Version B,gallery(1).html,student [HIGH-RISK] | dishevelled 3 [HIGH-RISK] | wait [HIGH-RISK] | Check Mark [HIGH-RISK] | class sit [HIGH-RISK],student | dishevelled 3 [HIGH-RISK] | Check Mark | class sit,medium,low,none,none
item_021,ex_021,3,1,A safety lesson should explain what to do if a student feels scared to go home.,Version B,gallery(1).html,Version A,gallery.html,write lesson [HIGH-RISK] | ashamed 4 [HIGH-RISK] | Home [HIGH-RISK] | what program do you want to watch [HIGH-RISK],write lesson [HIGH-RISK] | student [HIGH-RISK] | closed [HIGH-RISK] | Home [HIGH-RISK],medium,high,high_risk_support,high_risk_support
item_022,ex_022,3,2,Teachers should respond quickly if a student says someone hurt them.,Version A,gallery.html,Version B,gallery(1).html,teacher [HIGH-RISK] | to answer 1 [HIGH-RISK] | student [HIGH-RISK] | say goodbye sad [HIGH-RISK] | angry at someone [HIGH-RISK],teacher [HIGH-RISK] | student [HIGH-RISK] | hurt [HIGH-RISK] | test tell answer [HIGH-RISK] | answer [HIGH-RISK] | help [HIGH-RISK],high,high,high_risk_support,high_risk_support
item_023,ex_023,3,3,Emergency procedures should be explained clearly and calmly.,Version B,gallery(1).html,Version A,gallery.html,door-gate [HIGH-RISK] | write [HIGH-RISK] | close | calm,emergency exit | write [HIGH-RISK] | match [HIGH-RISK] | to silence 1 [HIGH-RISK],low,low,none,none
item_024,ex_024,3,4,Students should know who to tell if they feel unsafe at school.,Version B,gallery(1).html,Version A,gallery.html,open [HIGH-RISK] | test tell answer [HIGH-RISK] | human (man) [HIGH-RISK] | school [HIGH-RISK],Students [HIGH-RISK] | test tell answer [HIGH-RISK] | to feel sick 1 [HIGH-RISK] | school [HIGH-RISK],medium,medium,none,none
item_025,ex_025,3,5,"During health instruction, body-safety rules should be stated clearly.",Version B,gallery(1).html,Version A,gallery.html,maths class [HIGH-RISK] | body 1 [HIGH-RISK] | [clear],national health clinic [HIGH-RISK] | safety belt touch [HIGH-RISK] | regional state 32 [HIGH-RISK],low,low,age_appropriate_body_education,age_appropriate_body_education
item_026,ex_026,3,6,A student should never be forced to talk about private body issues in front of peers.,Version B,gallery(1).html,Version A,gallery.html,student [HIGH-RISK] | language do not understand [HIGH-RISK] | private [HIGH-RISK] | talk [HIGH-RISK] | [peers/classmates],student [HIGH-RISK] | do not lie [HIGH-RISK] | talk [HIGH-RISK] | private [HIGH-RISK] | front body [HIGH-RISK],medium,medium,age_appropriate_body_education,age_appropriate_body_education
item_027,ex_027,3,7,Sensitive anatomy instruction should be paired with respectful adult supervision.,Version B,gallery(1).html,Version A,gallery.html,write lesson [HIGH-RISK] | [adult supervision] | [respect],clips [HIGH-RISK] | adult [HIGH-RISK],medium,medium,age_appropriate_body_education,age_appropriate_body_education
item_028,ex_028,3,8,Lessons about consent should explain safe and unsafe touch.,Version A,gallery.html,Version B,gallery(1).html,[consent] | to touch [HIGH-RISK] | touch unwanted [HIGH-RISK],[consent] | don't touch! [HIGH-RISK] | don't touch! [HIGH-RISK],medium,medium,age_appropriate_body_education,age_appropriate_body_education
item_029,ex_029,3,9,Students should learn how to ask for help when something feels wrong.,Version B,gallery(1).html,Version A,gallery.html,ask for help | right or wrong,can i help you | feelings 5 [HIGH-RISK],low,low,none,none
item_030,ex_030,3,10,A classroom safety plan should include what to do when someone is injured.,Version A,gallery.html,Version B,gallery(1).html,classroom help round | Person,social intervention team 1 [HIGH-RISK] | Person | help 4,low,low,none,none
item_031,ex_031,4,1,"If a student says they want to hurt themselves, get help immediately.",Version B,gallery(1).html,Version A,gallery.html,student [HIGH-RISK] | self - steem [HIGH-RISK] | seek help [HIGH-RISK] | to come near [HIGH-RISK],student [HIGH-RISK] | say goodbye sad [HIGH-RISK] | self-image strong [HIGH-RISK] | seek help [HIGH-RISK] | date [HIGH-RISK],high,high,high_risk_support,high_risk_support
